PAPER NEGOTIATION CODE,ABBREVIATED NAME OF THE COMPANY,PAPER SPECIFICATION
ELET3,ELETROBRAS,ON
ELET6,ELETROBRAS,PN
ELPL3,ELETROPAULO,ON
ELPL4,ELETROPAULO,PN
EMAE4,EMAE,PN
EMBR3,EMBRAER,ON
ENBR3,ENERGIAS BR,ON
ENEV3,ENEVA,ON
ENMA3B,CEMAR,ON
EQTL3,EQUATORIAL,ON
ESTC3,ESTACIO PART,ON
ESTR4,ESTRELA,PN
ETER3,ETERNIT,ON
EUCA4,EUCATEX,PN
EVEN3,EVEN,ON
EZTC3,EZTEC,ON
FESA3,FERBASA,ON
FESA4,FERBASA,PN
FHER3,FER HERINGER,ON
FIBR3,FIBRIA,ON
FJTA3,FORJA TAURUS,ON
FJTA4,FORJA TAURUS,PN
FLRY3,FLEURY,ON
FRAS3,FRAS-LE,ON
GEPA3,GER PARANAP,ON
GEPA4,GER PARANAP,PN
GFSA3,GAFISA,ON
GGBR3,GERDAU,ON
GGBR4,GERDAU,PN
GOAU3,GERDAU MET,ON
GOAU4,GERDAU MET,PN
GOLL4,GOL,PN
GRND3,GRENDENE,ON
GSHP3,GENERALSHOPP,ON
GUAR3,GUARARAPES,ON
GUAR4,GUARARAPES,PN
HAGA4,HAGA S/A,PN
HBOR3,HELBOR,ON
HETA4,HERCULES,PN
HGTX3,CIA HERING,ON
HOOT4,HOTEIS OTHON,PN
HYPE3,HYPERMARCAS,ON
IDNT3,IDEIASNET,ON
IDVL4,INDUSVAL,PN
IGBR3,IGB S/A,ON
IGTA3,IGUATEMI,ON
IRBR3,IRBBRASIL RE,ON
ITSA3,ITAUSA,ON
ITSA4,ITAUSA,PN
ITUB3,ITAUUNIBANCO,ON
ITUB4,ITAUUNIBANCO,PN
JBDU4,J B DUARTE,PN
JFEN3,JOAO FORTES,ON
JHSF3,JHSF PART,ON
JSLG3,JSL,ON
KEPL3,KEPLER WEBER,ON
KLBN3,KLABIN S/A,ON
KLBN4,KLABIN S/A,PN
KROT3,KROTON,ON
LAME3,LOJAS AMERIC,ON
LAME4,LOJAS AMERIC,PN
LCAM3,LOCAMERICA,ON
LEVE3,METAL LEVE,ON
LIGT3,LIGHT S/A,ON
LINX3,LINX,ON
LIPR3,ELETROPAR,ON
LLIS3,LE LIS BLANC,ON
LOGN3,LOG-IN,ON
LPSB3,LOPES BRASIL,ON
LREN3,LOJAS RENNER,ON
MAGG3,MAGNESITA SA,ON
MDIA3,M.DIASBRANCO,ON
MEAL3,IMC S/A,ON
MGEL4,MANGELS INDL,PN
MGLU3,MAGAZ LUIZA,ON
MILS3,MILLS,ON
MLFT4,JEREISSATI,PN
MNDL3,MUNDIAL,ON
MNPR3,MINUPAR,ON
MOVI3,MOVIDA,ON
MPLU3,MULTIPLUS,ON
MRFG3,MARFRIG,ON
MRVE3,MRV,ON
MTSA4,METISA,PN
MULT3,MULTIPLAN,ON
MYPK3,IOCHP-MAXION,ON
NATU3,NATURA,ON
ODPV3,ODONTOPREV,ON
OFSA3,OUROFINO S/A,ON
OGXP3,OGX PETROLEO,ON
OMGE3,OMEGA GER,ON
PARD3,IHPARDINI,ON
PCAR4,P.ACUCAR-CBD,PN
PETR3,PETROBRAS,ON
PETR4,PETROBRAS,PN
PFRM3,PROFARMA,ON
PINE4,PINE,PN
PLAS3,PLASCAR PART,ON
PMAM3,PARANAPANEMA,ON
PNVL3,DIMED,ON
POMO3,MARCOPOLO,ON
POMO4,MARCOPOLO,PN
POSI3,POSITIVO TEC,ON
PRIO3,PETRORIO,ON
PRML3,PRUMO,ON
PSSA3,PORTO SEGURO,ON
PTBL3,PORTOBELLO,ON
PTNT4,PETTENATI,PN
QGEP3,QGEP PART,ON
QUAL3,QUALICORP,ON
RADL3,RAIADROGASIL,ON
RAIL3,RUMO S.A.,ON
RANI3,CELUL IRANI,ON
RANI4,CELUL IRANI,PN
RAPT3,RANDON PART,ON
RAPT4,RANDON PART,PN
RCSL3,RECRUSUL,ON
RCSL4,RECRUSUL,PN
RDNI3,RODOBENSIMOB,ON
REDE3,REDE ENERGIA,ON
RENT3,LOCALIZA,ON
RLOG3,COSAN LOG,ON
RNEW3,RENOVA,ON
RNEW4,RENOVA,PN
ROMI3,INDS ROMI,ON
RPAD6,ALFA HOLDING,PN
RSID3,ROSSI RESID,ON
SANB3,SANTANDER BR,ON
SANB4,SANTANDER BR,PN
SAPR3,SANEPAR,ON
SAPR4,SANEPAR,PN
SBSP3,SABESP,ON
SCAR3,SAO CARLOS,ON
SEDU3,SOMOS EDUCA,ON
SEER3,SER EDUCA,ON
SGPS3,SPRINGS,ON
SHOW3,TIME FOR FUN,ON
SHUL4,SCHULZ,PN
SLCE3,SLC AGRICOLA,ON
SLED3,SARAIVA LIVR,ON
SLED4,SARAIVA LIVR,PN
SMLS3,SMILES,ON
SMTO3,SAO MARTINHO,ON
SNSL3,SENIOR SOL,ON
SPRI3,SPRINGER,ON
SSBR3,SIERRABRASIL,ON
STBP3,SANTOS BRP,ON
SUZB3,SUZANO PAPEL,ON
TAEE3,TAESA,ON
TAEE4,TAESA,PN
TCSA3,TECNISA,ON
TECN3,TECHNOS,ON
TELB3,TELEBRAS,ON
TELB4,TELEBRAS,PN
TEND3,TENDA,ON
TESA3,TERRA SANTA,ON
TGMA3,TEGMA,ON
TIET3,AES TIETE E,ON
TIET4,AES TIETE E,PN
TIMP3,TIM PART S/A,ON
TOTS3,TOTVS,ON
TOYB3,TECTOY,ON
TOYB4,TECTOY,PN
TRIS3,TRISUL,ON
TRPL4,TRAN PAULIST,PN
TRPN3,TARPON INV,ON
TUPY3,TUPY,ON
TXRX4,TEX RENAUX,PN
UCAS3,UNICASA,ON
UGPA3,ULTRAPAR,ON
UNIP3,UNIPAR,ON
UNIP6,UNIPAR,PN
USIM3,USIMINAS,ON
USIM5,USIMINAS,PN
VALE3,VALE,ON
VALE5,VALE,PN
VIVT3,TELEF BRASIL,ON
VIVT4,TELEF BRASIL,PN
VLID3,VALID,ON
VULC3,VULCABRAS,ON
VVAR3,VIAVAREJO,ON
VVAR4,VIAVAREJO,PN
WEGE3,WEG,ON
WHRL3,WHIRLPOOL,ON
WHRL4,WHIRLPOOL,PN
WIZS3,WIZ S.A.,ON
WLMM4,WLM IND COM,PN
